statement,translation
נמאס מאותה השגרה נשבר רוצה,Tired of the same broken routine wants
לצעוק די נחנק בשורה השחורה,Yelling pretty choked in the black line
של חוקים שכפיתם עלי לא,Of the laws you imposed on me No
אלמד שיעורים איך לחיות לא,I'll learn lessons on how to live No
עוד עקרונות כללים אותי אף,More general principles for me though
אחד לא יישפוט כי לי,One shall not judge because I
יש אמת משלי לא רוצה,There's a truth of mine I don't want
להבין לא נכנע לא בורח,Understanding not giving up doesn't run away
עכשיו כבר ברור בשביל מה,Now it is clear why.
חש חזק מפנים יותר לא,Feeling stronger from the inside No
סולח כי זאת הכרזת מלחמה,Forgive because it is a declaration of war
לכם שנכנעתם מזמן אותי בספק,To you who have surrendered calls me in doubt
לא אתן לא אהיה עוד,I won't be no more
בורג קטן במכונה השחוקה שלכם,A small screw in your grinding machine
נכון בדרכי החיים טעיתי ודאי,Right. The ways of life. I was wrong.
לא מעט אולי אך בדרך,"Not a little, but on the way."
שלי אני הצודק המוחלט לא,Mine I'm the absolute right No
רוצה להבין,Want to understand
אחותי הגדולה לא עושה חשבון,My older sister doesn't do math.
היא אוהבת אותי עד שבא,She loves me until she comes.
ירון החבר הצבאי רק עומד,Jeroen the military friend is just standing
בדלת כבר היא מתבלבלת היא,"At the door, she is confused."
שולחת אותי להביא עיתון אני,Sending me to get a newspaper I
מסתכל בין קפלי ילון מתחבא,Looking between the curtain folds hiding
בלי לזוז רואה בשקט איך,Without moving quietly see how
היא מתנשקת הם מתנשקים בצרפתית,She kisses. They kiss in French.
או לה לה אחר כך,Or la la later
גם בעברית או לה לה,Also in Hebrew or La La
לא משעמם לי גם משתלם,I'm not bored either. Pays off.
לי כי אחותי הכי יפה,Me because my sister is the most beautiful
או לה לה גם אם,Or la la even if
היא קצת מכשפה או לה,She's a bit of a witch or her
לה אחותי הגדולה מחכה שעות,Her big sister waited for hours.
לפעמים בעיניה עולות דמעות פתאום,Sometimes her eyes suddenly burst into tears.
כשירון מצלצל בדלת היא ממש,"When Sharon rings the door, she's really"
צוהלת היא שולחת אותי למסע,She sends me on a journey
קניות שאביא ממתקים כל מיני,Shopping to get all kinds of candy
שטויות אני מחכה שיתחיל הסרט,Nonsense. I'm waiting for the movie to start.
איי לאב יו היא אומרת,Ai Love Yoo She says
הם מתנשקים בצרפתית אני משחק,They kiss in French I play
ילד טוב נותן לה תמיד,A good boy always gives her
לחשוב שלנצח אשמע בקולה היא,To think that I will forever hear her voice is
הרי אחותי הגדולה הם מתנשקים,"My big sister, they kiss."
בצרפתית או לה לה אחר,In French or another la la
כך גם בעברית או לה,So too in Hebrew or to her
לה לא משעמם לי גם,She doesn't bore me either.
משתלם לי הנשיקה הצרפתית או,I pay the French kiss or
לה לה נשמעת טוב גם,La La sounds good too.
בעברית או לה לה לא,In Hebrew or La La No
משעמם לי גם משתלם לי,"I'm bored, too. Pays off."
הם מתנשקים בצרפתית או לה,They kiss in French or la
לה,Lah
האם כדאי להיות אדם האם,Is it better to be the mother person?
כדאי להיות השמש כל כך,Better be the sun so
בודדה האם כדאי להיות ענן,Is it better to be a cloud?
לעוף אז כמו גשם ליפול,Fly Then Like Rain Fall
לרצפה זה מכאיב לראות אותך,To the floor it hurts to see you
נעלם לעצמך עף ברוח שלידך,Gone for yourself Flying in the wind beside you
זה מדהים לראות אותך נעלם,It's amazing to see you disappear.
לעצמך הופך לרוח שבך האם,To yourself becomes the spirit within you Is
כדאי להיות אדם האם כדאי,It is better to be a person.
להיות הדרך אם אין לה,Be the way if she doesn't have
מוצא האם כדאי להיות כוכב,Find out if it's better to be a star
לזהור חזק כמו צדק אל,Shine as strong as justice to
תוך בעירה זה מכאיב לראות,While burning it hurts to see
אותך נעלם לעצמך עף ברוח,You're gone for yourself Flying in the wind
שלידך זה מדהים לראות אותך,Next to you is amazing to see you.
נעלם לעצמך הופך לרוח שבך,Disappearing to Yourself Becomes the Spirit in You
שממשיכה,Which continues
אם את עוזבת תשאירי לי,"If you leave, leave it to me."
את כל הטעויות התסכולים כל,All the mistakes all the frustrations
החרדות לחיות לבד כן אם,The anxiety of living alone Yes if
את עוזבת תשאירי לי מזכרת,You're leaving. Leave me a souvenir.
של תמונה אני אכתוב איזו,Of a picture I will write which
מנגינה מנגינה אמצא לי מסגרת,I'll find a frame.
אולי אלך אל המתנ אגדל,Maybe I'll go to the waist. I'll grow up
חתול או כלב עליו אף,A cat or a dog on it.
פעם לא אכעס אם ארצה,I would never be angry if I wanted to.
אני אסע לאירופה אטייל לי,I'll go to Europe I'll travel to
בעולם בתי מלון גם קזינו,In the world of hotels also a casino
לילות פרועים מפה עד שם,Wild nights from here to there
אבל אני אחייה אבל אם,But I'll live But if
את עוזבת תשאירי לי את,You're leaving. Leave it to me.
כל החשבונות אם את עושבת,All accounts if you do
אין לך בעיות בכלל אם,You have no problems at all if
את עוזבת הכל ימשיך להיות,You leave. Everything will continue to be.
כמו שהיה אני אמשיך לחיות,As it was I will continue to live
לי את חיי את חיי,I have my life. My life.
אמצא לי מסגרת,I will find a frame.
תעלה השמש האור ישטוף יעלו,The sun will rise The light will wash away
המים שוב יגעו בחוף יעבור,The water will touch the beach again.
החורף יבוא אביב ילבלב שוב,Winter will come Spring will bloom again
חורש שדות סביב אנחנו רק,A grove of fields around us We're just
הפעם אנחנו רק הפעם עוד,This time we're just one more time
יגעו ידיים נגיעה רכה שוב,Touch hands Soft touch again
