statement,label
פרו היא שם של מדינה.,1
פורט-או-פרנס היא עיר בהאיטי.,0
פנמה היא שם של מדינה.,1
באקו היא עיר באזרבייג'ן.,1
מוסקט היא עיר בעומאן.,0
סורינם היא שם של מדינה.,1
בורקינה פאסו היא שם של מדינה.,1
קייפ טאון‏ היא שם של מדינה.,0
ניקרגואה היא שם של מדינה.,1
עיראק היא שם של מדינה.,1
כווית היא שם של מדינה.,1
בוגוטה היא עיר בקולומביה.,1
נורבגיה היא שם של מדינה.,1
ויינטיאן היא עיר בלאוס.,1
קאבול היא עיר באפגניסטן.,1
רומא היא עיר באיטליה.,0
פורט אוף ספיין היא עיר בטרינידד וטובגו.,0
בייג'ינג היא עיר בסין.,1
סן חוסה היא עיר בקוסטה ריקה.,1
בלגרד היא שם של מדינה.,0
אוקראינה היא שם של מדינה.,1
פליקיר היא עיר במיקרונזיה.,1
"רפובליקה המרכז אפריקאית, ה- היא שם של מדינה.",1
סודאן היא שם של מדינה.,1
לונדון היא שם של מדינה.,0
אקרה היא עיר בגאנה.,0
ניאמיי היא עיר בניז'ר.,0
ברטיסלבה היא שם של מדינה.,0
האנוי היא עיר בוייטנאם.,1
דמשק היא עיר בסוריה.,0
ברן היא עיר בשווייץ.,0
קסטריז היא עיר בסנט לוסיה.,1
מסרו היא עיר בלסוטו.,1
יאונדה היא עיר בקמרון.,1
הונדורס היא שם של מדינה.,1
דאקה היא שם של מדינה.,0
בולגריה היא שם של מדינה.,1
הוותיקן היא עיר בקריית הוותיקן.,0
פנום פן היא שם של מדינה.,0
איסלנד היא שם של מדינה.,1
פיג'י היא שם של מדינה.,1
סנגל היא שם של מדינה.,1
צרפת היא שם של מדינה.,1
נג'מנה היא שם של מדינה.,0
ולינגטון היא עיר בניו זילנד.,1
בלמופן היא עיר בבליז.,0
בוג'ומבורה היא עיר בבורונדי.,0
במקו היא שם של מדינה.,0
ליטא היא שם של מדינה.,1
ספרד היא שם של מדינה.,1
נסאו היא שם של מדינה.,0
פורטו נובו היא עיר בבנין.,1
בוקרשט היא שם של מדינה.,0
ביסאו היא שם של מדינה.,0
ואיאקו היא שם של מדינה.,0
אולן בטור היא שם של מדינה.,0
איסלאמבד היא עיר בפקיסטן.,1
מקדוניה היא שם של מדינה.,1
בודפשט היא עיר בהונגריה.,0
מונטווידאו היא שם של מדינה.,0
מבבנה‏ היא שם של מדינה.,0
סנטיאגו דה צ'ילה היא עיר בצ'ילה.,1
טאלין היא שם של מדינה.,0
לוקסמבורג היא שם של מדינה.,0
סן סלוודור היא עיר באל סלוודור.,0
"סנטו דומינגו היא עיר ברפובליקה הדומיניקנית, ה-.",0
וושינגטון היא עיר בארצות הברית.,0
אפיה היא עיר בסמואה.,1
מלבו היא עיר בגיניאה המשוונית.,1
ליסבון היא עיר בפורטוגל.,0
לוסקה היא עיר בזמביה.,1
גבון היא שם של מדינה.,1
סטוקהולם היא עיר בשבדיה.,1
סלובניה היא שם של מדינה.,1
אנטננריבו היא עיר במדגסקר.,1
טהימפהו היא עיר בבהוטן.,1
אנטיגואה וברבודה היא שם של מדינה.,1
אוטווה היא עיר בקנדה.,0
קונגו היא שם של מדינה.,1
לילונגווה היא עיר במלאווי.,0
קורור היא עיר בפלאו.,0
יוון היא שם של מדינה.,1
עמאן היא עיר בירדן.,1
הארארה היא שם של מדינה.,0
פורט וילה היא עיר בונואטו.,0
סרייבו היא עיר בבוסניה והרצגובינה.,1
ריאד היא שם של מדינה.,0
אין‏ היא עיר בנאורו.,0
ברזיליה היא שם של מדינה.,0
דודומה היא עיר בטנזניה.,1
פראג היא עיר בצ'כיה.,0
מאוריציוס היא שם של מדינה.,1
ירוואן היא עיר בארמניה.,1
זאגרב היא עיר בקרואטיה.,1
דבלין היא עיר באירלנד.,1
אבוג'ה היא שם של מדינה.,0
מזרח טימור היא שם של מדינה.,1
סינגפור היא עיר בסינגפור.,0
קוריאה הצפונית היא שם של מדינה.,1
אסטנה היא שם של מדינה.,0
הוניארה היא עיר באיי שלמה.,1
קטמנדו היא עיר בנפאל.,1
פודגוריצה היא עיר במונטנגרו.,1
אוגנדה היא שם של מדינה.,1
מקסיקו סיטי היא שם של מדינה.,0
קינגסטאון היא שם של מדינה.,0
ברוניי היא שם של מדינה.,1
וינה היא עיר באוסטריה.,1
וינדהוק היא שם של מדינה.,0
האמירויות הערביות המאוחדות היא שם של מדינה.,1
מנילה היא שם של מדינה.,0
מונקו היא עיר במונקו.,0
אסונסיון היא עיר בפרגוואי.,0
רבאט היא עיר במרוקו.,1
אתיופיה היא שם של מדינה.,1
רואנדה היא שם של מדינה.,1
לואנדה היא עיר באנגולה.,1
בנג'ול היא עיר בגמביה.,0
אלבניה היא שם של מדינה.,1
בישקק היא עיר בקירגיזסטן.,0
מפוטו היא עיר במוזמביק.,0
טביליסי היא עיר בגאורגיה.,1
סן מרינו היא עיר בסן מרינו.,0
באסטר היא עיר בסנט קיטס ונוויס.,0
קואלה לומפור היא שם של מדינה.,0
פריטאון היא שם של מדינה.,0
ונצואלה היא שם של מדינה.,1
הלסינקי היא עיר בפינלנד.,1
תאילנד היא שם של מדינה.,1
מולדובה היא שם של מדינה.,1
קיטו היא עיר באקוודור.,0
טאיפיי היא שם של מדינה.,0
בלארוס היא שם של מדינה.,1
ורשה היא עיר בפולין.,1
טהראן היא שם של מדינה.,0
מונרוביה היא עיר בליבריה.,0
צנעא היא עיר בתימן.,1
אשגאבט היא שם של מדינה.,0
נואקשוט היא עיר במאוריטניה.,0
פורט מורסבי היא שם של מדינה.,0
ואדוץ היא שם של מדינה.,0
איי מרשל היא שם של מדינה.,1
ויקטוריה היא שם של מדינה.,0
קנברה היא עיר באוסטרליה.,0
קיריבטי היא שם של מדינה.,1
ג'יבוטי היא עיר בג'יבוטי.,0
ניו דלהי היא שם של מדינה.,0
ימוסוקרו היא עיר בחוף השנהב.,0
תוניס היא שם של מדינה.,0
סיאול היא עיר בקוריאה הדרומית.,0
ג'ובה היא עיר בדרום סודאן.,1
ולטה היא עיר במלטה.,1
ג'מייקה היא שם של מדינה.,1
גינאה היא שם של מדינה.,1
טוקיו היא שם של מדינה.,0
גאבורון היא עיר בבוטסואנה.,0
"מלדיביים, ה- היא שם של מדינה.",1
ברידג'טאון היא עיר בברבדוס.,0
אסמרה היא שם של מדינה.,0
טג'יקיסטן היא שם של מדינה.,1
קניה היא שם של מדינה.,1
ג'ורג'טאון היא עיר בגיאנה.,1
לומה היא עיר בטוגו.,1
מנאמה היא שם של מדינה.,0
הוואנה היא שם של מדינה.,0
בריסל היא עיר בבלגיה.,1
רוזו היא עיר בדומיניקה.,0
ירושלים היא עיר בישראל.,0
גואטמלה סיטי היא שם של מדינה.,0
טורקיה היא שם של מדינה.,1
קולומבו היא עיר בסרי לנקה.,1
ניקוסיה היא שם של מדינה.,0
מורוני היא עיר בקומורו.,0
ארגנטינה היא שם של מדינה.,1
מוגדישו היא עיר בסומליה.,1
סנט ג'ורג' היא עיר בגרנדה.,1
דנמרק היא שם של מדינה.,1
נוקואלופה היא עיר בטונגה.,0
קהיר היא עיר במצרים.,0
ג'קרטה היא עיר באינדונזיה.,0
אלג'יר היא שם של מדינה.,0
סוקרה היא שם של מדינה.,0
ריגה היא עיר בלטביה.,1
פראיה היא שם של מדינה.,0
ברזוויל היא שם של מדינה.,0
ברלין היא שם של מדינה.,0
נייפידאו היא שם של מדינה.,0
סאו טומה היא עיר בסאו טומה ופרינסיפה.,0
דוחה היא עיר בקטאר.,1
אנדורה לה ולה היא עיר באנדורה.,0
מוסקבה היא עיר ברוסיה.,1
אמסטרדם היא עיר בהולנד.,1
לוב היא שם של מדינה.,1
ביירות היא עיר בלבנון.,0
טשקנט היא שם של מדינה.,0
