sentence,label
"התגובה יכולה להסתיים ביצירה, פירוק",או
תגובות כימיות כוללות בדרך כלל,יצירה
דוגמאות לתגובות כימיות נפוצות הן,"חמצון,"
ניתן לתאר תגובה כימית באמצעות,שימוש
בעוד שבתגובות לא-גרעיניות מספרי האטומים,וסוגם
רצף השלבים שבהם הקשרים הכימיים,מתארגנים
ניתן לחזות שתגובה כימית תתרחש,במספר
חומרי ביניים רבים בעלי יציבות,משתנה
פיתוחם של מנגנוני התגובה בא,להסביר
"מספר חוקים אמפיריים, כגון חוקי","וודוורד-הופמן,"
הגדרה יותר קשיחה לתגובה כימית,היא:
"לפי הגדרה זו, תגובה כימית",יכולה
ניתן להגביל את ההגדרה עוד,יותר
תגובות כימיות מסוג זה כוללות,בדרך
תגובה כימית מלווה תמיד בהגדלת,או
כמות אנרגיה מסוימת עוברת בסביבת,המגיבים
תגובה כימית היא אקסותרמית אם,במצב
התגובה היא אנדותרמית כאשר במצב,הסופי
תגובה כימית אינה יכולה להתרחש,אם
המהירות של תגובה כימית (בטמפרטורה,T
התלות המעריכית בין מהירות התגובה,לבין
אנרגיית השפעול הדרושה לתגובה הכימית,יכולה
"המושג של אנרגיה חופשית, המשלב",שיקולים
התגובה אפשרית רק אם השינוי,הכולל
קיים מספר מוגבל מאוד של,מצבי
מצבים אלה נקבעים לפי חוקי,מכניקת
האטומים או המולקולות ברמת אנרגיה,גבוהה
מצב הצבירה של החומר נקבע,על
כאשר הכוחות הפנים-מולקולריים של חומר,נמצאים
"לדוגמה, מים הם נוזל בטמפרטורת",החדר
"לעומת זאת, מימן גופרתי הוא",גז
מעבר האנרגיה מחומר אחד לאחר,תלוי
"אולם, אנרגיית חום מועברת בקלות",כמעט
כיוון שרמות האנרגיה של האלקטרונים,לא
הידיעה על קיומן של רמות,אנרגיה
דבר זה שימושי גם בזיהוי,ההרכב
תגובות כימיות מתרחשות לפי חוקים,"מסוימים,"
חוק שימור המסה: לפי הפיזיקה,המודרנית
חוק שימור האנרגיה קשור למושגים,החשובים
חוק ההרכב המוגדר: אף על,פי
חוק הס: חוק הקובע כי,השינוי
לכן שלבי ביניים בתגובה הכימית,אינם
מאפשר לחשב את שינוי האנתלפיה,עבור
כימיה מחולקת בדרך כלל לכמה,תחומי
"כמו כן, ישנם כמה תחומים",הקשורים
דיסציפלינות שונות בתוך הכימיה מחולקות,בדרך
"דיסציפלינות אלה כוללות כימיה אי-אורגנית,",שהיא
בשנים האחרונות התפתחו דיסציפלינות יותר,"ממוקדות,"
כימיה אנליטית היא התחום שבו,עורכים
כימיה אנליטית מתבססת על שיטות,ניסוייות
השימוש בשיטות הללו נפוץ בכל,התת-דיסציפלינות
"ביוכימיה היא חקר הכימיקלים, תגובות",כימיות
בין הביוכימיה והכימיה האורגנית יש,מידה
